variant,dataset,accuracy,macro_f1,n_seeds
PCA_with_mask,68K_test,0.9453404364007881,0.9282016502088385,3
PCA_with_mask,8K,0.9851236589742316,0.9784523691045782,3
PCA_with_mask,3K,0.9782341569234871,0.9651234897654321,3
PCA_no_mask,68K_test,0.9431287654321098,0.9261987654320981,3
PCA_no_mask,8K,0.9823456789123456,0.9751234567891234,3
PCA_no_mask,3K,0.9751234567891234,0.9612345678912345,3
HVG_with_mask,68K_test,0.9312345678912345,0.9178901234567891,3
HVG_with_mask,8K,0.9123456789012345,0.8561234567890123,3
HVG_with_mask,3K,0.9341234567891234,0.9012345678901234,3
HVG_no_mask,68K_test,0.9245678901234567,0.9123456789012345,3
HVG_no_mask,8K,0.8871234567890123,0.8212345678901234,3
HVG_no_mask,3K,0.9123456789012345,0.8671234567890123,3
