variant,best_epoch,best_val_macro_f1,final_test_macro_f1,final_test_accuracy,training_time_sec,hidden_dim,dropout,activation,l1_lambda,batchnorm,epochs,batch_size,lr
batchnorm_on,20,0.9199985595478857,0.9138623931561034,0.9399401590892505,13.445396900177002,256,0.1,relu,0.0,True,20,256,0.001
hidden_larger_512,20,0.9196788168972575,0.9178952921662661,0.9429322046267241,16.513141870498657,512,0.1,relu,0.0,False,20,256,0.001
dropout_off,17,0.9177161145427836,0.9128149665929352,0.9404509961322338,11.87498688697815,256,0.0,relu,0.0,False,20,256,0.001
batchnorm_off,20,0.9170917353232173,0.9128812527064133,0.9400861125301029,12.517188787460327,256,0.1,relu,0.0,False,20,256,0.001
activation_gelu,17,0.9154509282280376,0.9143739990652913,0.9392833686054148,12.612586975097656,256,0.1,gelu,0.0,False,20,256,0.001
baseline,16,0.9150498492696129,0.915491899239588,0.9406699262935123,13.073399782180786,256,0.1,relu,0.0,False,20,256,0.001
dropout_0p3,19,0.9144063051169384,0.910508877804412,0.9378238341968912,12.490140914916992,256,0.3,relu,0.0,False,20,256,0.001
l1_off,20,0.9143284737624108,0.9118868102439004,0.9385536014011531,12.512518882751465,256,0.1,relu,0.0,False,20,256,0.001
l1_on_1e-06,16,0.9127610324349906,0.9072996907933076,0.9373129971539079,13.805814027786255,256,0.1,relu,1e-06,False,20,256,0.001
hidden_smaller_128,20,0.9108807531509348,0.9080427866676807,0.9354885791432533,10.502715826034546,128,0.1,relu,0.0,False,20,256,0.001
