donor,model,coverage,macro_f1
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,1.0,0.9535988697319657
8K,lr,0.9998469543924089,0.9535971356064348
8K,lr,0.9954086317722681,0.9578526437409843
8K,lr,0.9921946740128559,0.9605610523831923
8K,lr,0.9882154882154882,0.9649703158004951
8K,lr,0.9853076216712581,0.9691668672074982
8K,lr,0.9816345270890725,0.9727627327092481
8K,lr,0.9799510254055709,0.9747445198651823
8K,lr,0.9773492500765228,0.9755609338656996
8K,lr,0.9738292011019284,0.9772199115477539
8K,lr,0.9695439240893786,0.9792768253416726
8K,lr,0.9646464646464646,0.9813539472904727
8K,lr,0.9602081420263239,0.9840103106591784
8K,lr,0.9599020508111418,0.9840091688798753
8K,lr,0.9548515457606367,0.9866316486746673
8K,lr,0.950872359963269,0.9875485098957157
8K,lr,0.9452096724823997,0.988323964909163
8K,lr,0.9400061218243037,0.9887426284687025
8K,lr,0.9387817569635751,0.9892235466101653
8K,lr,0.9318947046219773,0.9891988491310661
8K,lr,0.9259259259259259,0.9911702613815134
8K,lr,0.9199571472298745,0.9921124533229382
8K,lr,0.9172023262932354,0.9925723607906296
8K,lr,0.9089378634833181,0.9930862113593839
8K,lr,0.8999081726354453,0.9929783762940716
8K,lr,0.8977655341291705,0.9935061454480751
8K,lr,0.8846036118763392,0.9933986121364415
8K,lr,0.8800122436486073,0.993324206895909
8K,lr,0.8703703703703703,0.9932598382835551
8K,lr,0.8599632690541782,0.9932383273840486
8K,lr,0.8504744413835323,0.9931036173884665
8K,lr,0.839914294459749,0.9930194890630448
8K,lr,0.8247627793082338,0.9934853108072781
8K,lr,0.820018365472911,0.9935502876176132
8K,lr,0.7999693908784817,0.9931103874588195
8K,lr,0.7799204162840526,0.9924457170098561
8K,lr,0.7661463116008571,0.992076155391171
8K,lr,0.7600244872972146,0.9917362803369845
8K,lr,0.7399755127027854,0.9912752931823812
8K,lr,0.7199265381083563,0.9907250298711555
8K,lr,0.7000306091215183,0.9901842782891375
8K,lr,0.679981634527089,0.9895643324046126
8K,lr,0.6599326599326599,0.9886577915107957
8K,lr,0.6400367309458218,0.9875686945758799
8K,lr,0.6199877563513927,0.9865304348233096
8K,lr,0.5999387817569636,0.9838178237133393
8K,lr,0.5800428527701255,0.9820754646031065
8K,lr,0.5599938781756963,0.9787352470088085
8K,lr,0.5399449035812672,0.9731427017592207
8K,lr,0.5200489745944291,0.9406528900584298
8K,lr,0.5,0.4976606297475983
8K,lr,0.4799510254055709,0.4980707776678212
8K,lr,0.46005509641873277,0.498405244834515
8K,lr,0.44000612182430365,0.6648648648648648
8K,lr,0.4199571472298745,0.6649344221727295
8K,lr,0.4000612182430364,0.9975074775672981
8K,lr,0.3800122436486073,0.9976016157535976
8K,lr,0.35996326905417814,0.9978233034571062
8K,lr,0.3400673400673401,0.9977858817400365
8K,lr,0.3200183654729109,0.9977327287276607
8K,lr,0.2999693908784818,0.9980737479361586
8K,lr,0.2800734618916437,0.9981370020063055
8K,lr,0.26002448729721456,0.9981796116504854
8K,lr,0.23997551270278544,0.9980506822612085
8K,lr,0.22007958371594735,0.9978843441466855
8K,lr,0.2000306091215182,0.9976851851851851
8K,lr,0.17998163452708907,0.9974315068493151
8K,lr,0.160085705540251,0.9973544973544973
8K,lr,0.14034282216100397,0.9939659901261657
8K,lr,0.12075298438934802,0.9929802169751116
8K,lr,0.10116314661769207,0.9916094584286804
8K,lr,0.08172635445362718,0.9895931882686849
8K,lr,0.06489133761861035,0.9880668257756563
8K,lr,0.05463728191000918,0.9857954545454546
8K,lr,0.03673094582185491,0.9808917197452229
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,1.0,0.9783744292821592
8K,xgb,0.9996939087848179,0.9785180511534752
8K,xgb,0.9987756351392715,0.9798524511617095
8K,xgb,0.9967860422405876,0.9827139794118385
8K,xgb,0.995102540557086,0.9839526170946185
8K,xgb,0.9932659932659933,0.986161336070041
8K,xgb,0.9909703091521274,0.9873506466897249
8K,xgb,0.9892868074686256,0.9882287096678275
8K,xgb,0.9872972145699418,0.9890511466850312
8K,xgb,0.9853076216712581,0.9897057001826743
8K,xgb,0.9831649831649831,0.9906102400853709
8K,xgb,0.9810223446587083,0.9921257082572781
8K,xgb,0.9799510254055709,0.9921056567744491
8K,xgb,0.9782675237220692,0.9921159247957823
8K,xgb,0.9750535659626569,0.9925027610049528
8K,xgb,0.9712274257728803,0.9924281103117647
8K,xgb,0.9651056014692379,0.992924608635348
8K,xgb,0.9599020508111418,0.9927309787484649
8K,xgb,0.9585246403428221,0.9926493834800706
8K,xgb,0.9485766758494031,0.9924963001853986
8K,xgb,0.9400061218243037,0.9923416939354939
8K,xgb,0.935873890419345,0.9922957178460344
8K,xgb,0.9250076522803795,0.9937217289330218
8K,xgb,0.9199571472298745,0.9945220007878022
8K,xgb,0.9066421793694521,0.994266101332919
8K,xgb,0.8999081726354453,0.9949991148745999
8K,xgb,0.8846036118763392,0.9947503799513144
8K,xgb,0.8800122436486073,0.9946391592016086
8K,xgb,0.8599632690541782,0.9942947293128378
8K,xgb,0.859657177838996,0.9942942638021377
8K,xgb,0.839914294459749,0.9949195633747251
8K,xgb,0.8284358738904194,0.9946820708691272
8K,xgb,0.820018365472911,0.9944058511946176
8K,xgb,0.7999693908784817,0.9926793807804838
8K,xgb,0.7990511172329354,0.9925799336431547
8K,xgb,0.7799204162840526,0.991027464153079
8K,xgb,0.7725742271196817,0.9933102264490484
8K,xgb,0.7600244872972146,0.9886520326500259
8K,xgb,0.7421181512090603,0.9980384809502926
8K,xgb,0.7399755127027854,0.998033662462817
8K,xgb,0.7199265381083563,0.9977272706334471
8K,xgb,0.7000306091215183,0.9981307595519313
8K,xgb,0.679981634527089,0.9984343853647029
8K,xgb,0.6599326599326599,0.9983829726507167
8K,xgb,0.6400367309458218,0.9983194746075535
8K,xgb,0.6199877563513927,0.9982370391985217
8K,xgb,0.5999387817569636,0.9984629582451084
8K,xgb,0.5800428527701255,0.9984082371205077
8K,xgb,0.5599938781756963,0.998400708161005
8K,xgb,0.5399449035812672,0.9981652955663965
8K,xgb,0.5200489745944291,0.9980153089575672
8K,xgb,0.5,0.9978762314538202
8K,xgb,0.4799510254055709,0.9976294902430847
8K,xgb,0.46005509641873277,0.9973606197218324
8K,xgb,0.44000612182430365,0.9971034648868929
8K,xgb,0.4199571472298745,0.9967013474490202
8K,xgb,0.40021426385062747,0.997614307833286
8K,xgb,0.3800122436486073,0.9973127805339003
8K,xgb,0.35996326905417814,0.9985761922170108
8K,xgb,0.3400673400673401,1.0
8K,xgb,0.3200183654729109,1.0
8K,xgb,0.3002754820936639,1.0
8K,xgb,0.2802265074992348,1.0
8K,xgb,0.26002448729721456,1.0
8K,xgb,0.23997551270278544,1.0
8K,xgb,0.22007958371594735,1.0
8K,xgb,0.2000306091215182,1.0
8K,xgb,0.17998163452708907,1.0
8K,xgb,0.16023875114784206,1.0
8K,xgb,0.14003673094582186,1.0
8K,xgb,0.12029384756657484,1.0
8K,xgb,0.1002448729721457,1.0
8K,xgb,0.0800428527701255,1.0
8K,xgb,0.05999387817569636,1.0
8K,xgb,0.04009794918885828,1.0
8K,xgb,0.02004897459442914,1.0
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,1.0,0.9845555725927048
8K,sann,0.9998469543924089,0.9849775104174228
8K,sann,0.9996939087848179,0.9850796134226135
8K,sann,0.9995408631772268,0.9850789946767571
8K,sann,0.9992347719620447,0.9851805514714265
8K,sann,0.9987756351392715,0.9860276076670991
8K,sann,0.9978573614937252,0.986425908319751
8K,sann,0.9963269054178145,0.9886607454421672
8K,sann,0.9947964493419039,0.9890685408612276
8K,sann,0.9934190388735843,0.9892087465470238
8K,sann,0.9914294459749006,0.9892035174338962
8K,sann,0.9895928986838077,0.9897999390418399
8K,sann,0.9872972145699418,0.990484581158593
8K,sann,0.9843893480257117,0.9914537858890058
8K,sann,0.9816345270890725,0.9920327004851455
8K,sann,0.9799510254055709,0.9919747689826017
8K,sann,0.9787266605448424,0.9919590162604095
8K,sann,0.9730639730639731,0.9919952661127174
8K,sann,0.9695439240893786,0.9924106177016774
8K,sann,0.9635751453933272,0.9923620403571506
8K,sann,0.9599020508111418,0.9923427057328192
8K,sann,0.9585246403428221,0.9923403099734623
8K,sann,0.9528619528619529,0.9927665602502932
8K,sann,0.9439853076216712,0.9927873154153773
8K,sann,0.9400061218243037,0.9928948245470828
8K,sann,0.9354147535965718,0.992874813300684
8K,sann,0.9205693296602387,0.9928455894637369
8K,sann,0.9199571472298745,0.992844477269377
8K,sann,0.9008264462809917,0.9932998583504438
8K,sann,0.8999081726354453,0.9932981510911584
8K,sann,0.8800122436486073,0.9931725773161905
8K,sann,0.876798285889195,0.9931534179894694
8K,sann,0.8599632690541782,0.9942127110912494
8K,sann,0.8464952555861647,0.9941575768083102
8K,sann,0.839914294459749,0.9941239012063332
8K,sann,0.820018365472911,0.994640600696288
8K,sann,0.8039485766758494,0.9945523526209292
8K,sann,0.7999693908784817,0.9945250559155949
8K,sann,0.7799204162840526,0.9943976222225193
8K,sann,0.7600244872972146,0.9941913699810336
8K,sann,0.7558922558922558,0.9941551287350825
8K,sann,0.7399755127027854,0.9940178094702932
8K,sann,0.7199265381083563,0.9937950135568647
8K,sann,0.7012549739822467,0.9936072981618356
8K,sann,0.7000306091215183,0.9935861454606915
8K,sann,0.679981634527089,0.99334030392642
8K,sann,0.6599326599326599,0.9932067261887014
8K,sann,0.6400367309458218,0.9928495185061782
8K,sann,0.6209060299969391,0.9919939151617757
8K,sann,0.6199877563513927,0.9919857635785571
8K,sann,0.5999387817569636,0.9926093066672816
8K,sann,0.5800428527701255,0.9931973790383384
8K,sann,0.5599938781756963,0.9926174960387544
8K,sann,0.5399449035812672,0.9912427520778887
8K,sann,0.5200489745944291,0.9928425648028749
8K,sann,0.5,0.9972456807305012
8K,sann,0.4799510254055709,0.9981098251480947
8K,sann,0.46005509641873277,0.99803745823235
8K,sann,0.44000612182430365,0.9979585024449338
8K,sann,0.4199571472298745,0.9978988735170837
8K,sann,0.4000612182430364,0.9986365889935548
8K,sann,0.3800122436486073,0.99817306095333
8K,sann,0.35996326905417814,0.9982434127979926
8K,sann,0.3400673400673401,0.9982265011401065
8K,sann,0.3200183654729109,0.998295841854124
8K,sann,0.2999693908784818,0.9982502187226596
8K,sann,0.2800734618916437,0.9983370288248338
8K,sann,0.26002448729721456,0.9983159980188212
8K,sann,0.23997551270278544,0.9981761613560777
8K,sann,0.22007958371594735,0.997196916608269
8K,sann,0.2000306091215182,0.9969159599074788
8K,sann,0.17998163452708907,0.9967852550364338
8K,sann,0.16023875114784206,0.9963890226287915
8K,sann,0.14018977655341291,0.9917446340121079
8K,sann,0.11998775635139272,0.990990990990991
8K,sann,0.10039791857973676,0.9899923017705927
8K,sann,0.08019589837771655,0.9874396135265701
8K,sann,0.06014692378328742,0.9831824062095731
8K,sann,0.04009794918885828,0.9765625
8K,sann,0.020202020202020204,0.9523809523809523
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,1.0,0.9608373849452277
3K,lr,0.9984621299500193,0.9605995516468175
3K,lr,0.9969242599000384,0.9614695360598544
3K,lr,0.994232987312572,0.9626644975038344
3K,lr,0.9903883121876201,0.9652444990112465
3K,lr,0.9876970396001538,0.9673061559416809
3K,lr,0.9853902345251826,0.9678352170858242
3K,lr,0.9834678969627066,0.967745405082915
3K,lr,0.98000768935025,0.9675636912187141
3K,lr,0.9796232218377547,0.9674762786313016
3K,lr,0.9750096116878124,0.9688436724476158
3K,lr,0.9715494040753556,0.9688307691293125
3K,lr,0.9669357939254133,0.9686529615069933
3K,lr,0.962322183775471,0.9699270576497859
3K,lr,0.9600153787004998,0.9697655953551438
3K,lr,0.9577085736255286,0.969678909008665
3K,lr,0.954248366013072,0.9706175008020773
3K,lr,0.9473279507881583,0.9702841245818454
3K,lr,0.9407920030757401,0.9726379411331958
3K,lr,0.9400230680507498,0.9726355685591352
3K,lr,0.9338715878508266,0.9725690998455561
3K,lr,0.9231064975009612,0.9739071949818163
3K,lr,0.9200307574009996,0.9737635888450111
3K,lr,0.9134948096885813,0.9734591173916296
3K,lr,0.9000384467512496,0.9740200884682118
3K,lr,0.8985005767012687,0.975034240369404
3K,lr,0.8819684736639753,0.9754808251502688
3K,lr,0.8800461361014994,0.9753343405434378
3K,lr,0.8600538254517494,0.9763793638060527
3K,lr,0.8585159554017685,0.9762140371052113
3K,lr,0.8400615148019992,0.9788667532306391
3K,lr,0.8227604767397155,0.9804277870931848
3K,lr,0.8200692041522492,0.9803903467587549
3K,lr,0.800076893502499,0.9800392942695482
3K,lr,0.780084582852749,0.9797419948302591
3K,lr,0.7600922722029988,0.9821379673589566
3K,lr,0.7400999615532488,0.9820818302252953
3K,lr,0.7201076509034987,0.9824697163884968
3K,lr,0.71280276816609,0.9824431347829679
3K,lr,0.7001153402537486,0.9823939770193185
3K,lr,0.6801230296039985,0.9823095197977292
3K,lr,0.6601307189542484,0.982216831925086
3K,lr,0.6401384083044983,0.9821102550440042
3K,lr,0.6201460976547482,0.9885783474007981
3K,lr,0.6001537870049981,0.9884234582656752
3K,lr,0.580161476355248,0.9882391798111009
3K,lr,0.5601691657054979,0.988015801276464
3K,lr,0.5401768550557478,0.9872372035872059
3K,lr,0.5201845444059977,0.9868823559303269
3K,lr,0.5001922337562476,0.9863959564092435
3K,lr,0.4801999231064975,0.9857702068133734
3K,lr,0.4602076124567474,0.9848034902335341
3K,lr,0.4402153018069973,0.9831695033054295
3K,lr,0.4202229911572472,0.9799967131537702
3K,lr,0.4002306805074971,0.9721563238674522
3K,lr,0.380238369857747,0.8841079330399427
3K,lr,0.3602460592079969,0.7477653764328581
3K,lr,0.3402537485582468,0.7493350708519796
3K,lr,0.3202614379084967,0.7497824194952132
3K,lr,0.30026912725874666,0.7497749774977498
3K,lr,0.28027681660899656,0.749767008387698
3K,lr,0.26028450595924646,1.0
3K,lr,0.24029219530949636,1.0
3K,lr,0.22029988465974626,1.0
3K,lr,0.20030757400999616,1.0
