model_a,model_b,mean_a,mean_b,direction,wilcoxon_stat,p_raw,p_holm,holm_reject_at_0.05
LR_PCA,LR_HVG,0.841203242892227,0.8530751767130766,LR_PCA < LR_HVG,0.0,0.0625,0.9375,False
LR_PCA,XGB_PCA,0.841203242892227,0.903983200353603,LR_PCA < XGB_PCA,0.0,0.0625,0.9375,False
LR_PCA,XGB_HVG,0.841203242892227,0.8859067658113482,LR_PCA < XGB_HVG,0.0,0.0625,0.9375,False
LR_PCA,SANN_PCA,0.841203242892227,0.9195607723488116,LR_PCA < SANN_PCA,0.0,0.0625,0.9375,False
LR_PCA,SANN_HVG,0.841203242892227,0.8634150580447641,LR_PCA < SANN_HVG,0.0,0.0625,0.9375,False
LR_HVG,XGB_PCA,0.8530751767130766,0.903983200353603,LR_HVG < XGB_PCA,0.0,0.0625,0.9375,False
LR_HVG,XGB_HVG,0.8530751767130766,0.8859067658113482,LR_HVG < XGB_HVG,0.0,0.0625,0.9375,False
LR_HVG,SANN_PCA,0.8530751767130766,0.9195607723488116,LR_HVG < SANN_PCA,0.0,0.0625,0.9375,False
LR_HVG,SANN_HVG,0.8530751767130766,0.8634150580447641,LR_HVG < SANN_HVG,0.0,0.0625,0.9375,False
XGB_PCA,XGB_HVG,0.903983200353603,0.8859067658113482,XGB_PCA > XGB_HVG,0.0,0.0625,0.9375,False
XGB_PCA,SANN_PCA,0.903983200353603,0.9195607723488116,XGB_PCA < SANN_PCA,0.0,0.0625,0.9375,False
XGB_PCA,SANN_HVG,0.903983200353603,0.8634150580447641,XGB_PCA > SANN_HVG,0.0,0.0625,0.9375,False
XGB_HVG,SANN_PCA,0.8859067658113482,0.9195607723488116,XGB_HVG < SANN_PCA,0.0,0.0625,0.9375,False
XGB_HVG,SANN_HVG,0.8859067658113482,0.8634150580447641,XGB_HVG > SANN_HVG,0.0,0.0625,0.9375,False
SANN_PCA,SANN_HVG,0.9195607723488116,0.8634150580447641,SANN_PCA > SANN_HVG,0.0,0.0625,0.9375,False
