donor,tool,cell_type,f1,ci_lo,ci_hi,n_test,n_class
8K,SANN_PCA,B cells,0.9963310232368529,0.9938491731882095,0.9984475642442703,6534,1222
8K,SANN_PCA,Mono,0.987093690248566,0.9838045060634613,0.9903462842106819,6534,2102
8K,SANN_PCA,NK,0.9622641509433962,0.9461587324738503,0.9756888151168823,6534,313
8K,SANN_PCA,T cells,0.9925334259420038,0.9903858855366707,0.994792002439499,6534,2897
8K,scANVI,B cells,0.9818181818181818,0.9762907966971397,0.9869294583797454,6534,1222
8K,scANVI,Mono,0.9918621349928195,0.98894661962986,0.9944088310003281,6534,2102
8K,scANVI,NK,0.7506561679790026,0.7151095777750015,0.7826113715767861,6534,313
8K,scANVI,T cells,0.9555987970988855,0.9500078827142715,0.960743659734726,6534,2897
8K,Seurat,B cells,0.9963310232368529,0.9937988340854644,0.998411700129509,6534,1222
8K,Seurat,Mono,0.9899328859060402,0.9868803218007087,0.9927712857723237,6534,2102
8K,Seurat,NK,0.967741935483871,0.9531418532133102,0.9808701440691948,6534,313
8K,Seurat,T cells,0.9948204419889503,0.9926876470446586,0.9965269580483437,6534,2897
8K,ACTINN,B cells,0.9947089947089947,0.9916730672121048,0.9974754139780998,6534,1222
8K,ACTINN,Mono,0.9909047391096218,0.9878045246005058,0.9935768857598305,6534,2102
8K,ACTINN,NK,0.8652037617554859,0.8361661732196808,0.8934185609221459,6534,313
8K,ACTINN,T cells,0.9819819819819819,0.9784264951944351,0.9852445527911187,6534,2897
8K,SingleR,B cells,0.990924092409241,0.9867009848356247,0.9945118442177773,6534,1222
8K,SingleR,Mono,0.97442143727162,0.9694066554307937,0.9789529711008071,6534,2102
8K,SingleR,NK,0.8784773060029283,0.849701102077961,0.9046293660998345,6534,313
8K,SingleR,T cells,0.97054698457223,0.966068334877491,0.9750495433807373,6534,2897
3K,SANN_PCA,B cells,0.984081041968162,0.974504043161869,0.9928062945604325,2601,342
3K,SANN_PCA,Mono,0.9929078014184397,0.9879518151283264,0.9969835221767426,2601,630
3K,SANN_PCA,NK,0.9294871794871795,0.8976790219545364,0.9550250560045243,2601,154
3K,SANN_PCA,Platelet,0.9655172413793104,0.8695651888847351,1.0,2601,15
3K,SANN_PCA,T cells,0.9879351947604275,0.983443234860897,0.9916090250015259,2601,1460
3K,scANVI,B cells,0.9826589595375722,0.9729709535837173,0.9918763279914856,2601,342
3K,scANVI,Mono,0.9929078014184397,0.9880772545933724,0.9969325065612793,2601,630
3K,scANVI,NK,0.7384615384615385,0.689244593679905,0.7851458787918091,2601,154
3K,scANVI,Platelet,0.0,0.0,0.0,2601,15
3K,scANVI,T cells,0.9562764456981664,0.9484273448586464,0.9636316791176796,2601,1460
3K,Seurat,B cells,0.9855072463768116,0.9763536572456359,0.9944601908326149,2601,342
3K,Seurat,Mono,0.9936908517350158,0.9889235883951187,0.99764344394207,2601,630
3K,Seurat,NK,0.9285714285714286,0.897673986852169,0.9545527696609497,2601,154
3K,Seurat,Platelet,0.9285714285714286,0.800000011920929,1.0,2601,15
3K,Seurat,T cells,0.9876203576341128,0.9833490416407585,0.9914712399244309,2601,1460
3K,ACTINN,B cells,0.9826589595375722,0.972582995891571,0.9924596533179283,2601,342
3K,ACTINN,Mono,0.9936908517350158,0.9889235883951187,0.99764344394207,2601,630
3K,ACTINN,NK,0.8328267477203647,0.7859536662697792,0.8743244513869286,2601,154
3K,ACTINN,Platelet,0.9285714285714286,0.800000011920929,1.0,2601,15
3K,ACTINN,T cells,0.9760831889081456,0.9701428666710854,0.9812793850898742,2601,1460
3K,SingleR,B cells,0.9854651162790697,0.9766764044761658,0.9940307646989822,2601,342
3K,SingleR,Mono,0.984884645982498,0.9775781020522117,0.9917225196957589,2601,630
3K,SingleR,NK,0.910828025477707,0.876183532178402,0.9411860227584838,2601,154
3K,SingleR,Platelet,0.0,0.0,0.0,2601,15
3K,SingleR,T cells,0.9862258953168044,0.9818938210606575,0.9904579952359199,2601,1460
