donor,model,class,tau,rejection_rate,n_gt
8K,lr,B cells,0.9,0.0016366612111292963,1222
8K,lr,Mono,0.9,0.002378686964795433,2102
8K,lr,NK,0.9,0.23322683706070288,313
8K,lr,Platelet,0.9,,0
8K,lr,T cells,0.9,0.2326544701415257,2897
8K,xgb,B cells,0.9,0.0024549918166939444,1222
8K,xgb,Mono,0.9,0.011417697431018078,2102
8K,xgb,NK,0.9,0.6230031948881789,313
8K,xgb,Platelet,0.9,,0
8K,xgb,T cells,0.9,0.23990334829133586,2897
8K,sann,B cells,0.9,0.0008183306055646482,1222
8K,sann,Mono,0.9,0.008563273073263558,2102
8K,sann,NK,0.9,0.20447284345047922,313
8K,sann,Platelet,0.9,,0
8K,sann,T cells,0.9,0.3175698998964446,2897
3K,lr,B cells,0.9,0.0,342
3K,lr,Mono,0.9,0.0031746031746031746,630
3K,lr,NK,0.9,0.3961038961038961,154
3K,lr,Platelet,0.9,0.0,15
3K,lr,T cells,0.9,0.13767123287671232,1460
3K,xgb,B cells,0.9,0.0029239766081871343,342
3K,xgb,Mono,0.9,0.004761904761904762,630
3K,xgb,NK,0.9,0.44155844155844154,154
3K,xgb,Platelet,0.9,0.13333333333333333,15
3K,xgb,T cells,0.9,0.1773972602739726,1460
3K,sann,B cells,0.9,0.0029239766081871343,342
3K,sann,Mono,0.9,0.0031746031746031746,630
3K,sann,NK,0.9,0.16883116883116883,154
3K,sann,Platelet,0.9,0.06666666666666667,15
3K,sann,T cells,0.9,0.1404109589041096,1460
