Comparison,Test donor,n cells,Δ macro-F1 (mean),CI low,CI high,McNemar p,Stuart-Maxwell chi2,CI excludes 0
SANN vs Seurat,8K,6534,-0.0027600529900259053,-0.006947113586738782,0.0013534028142624082,2.4992546637235372e-05,26.507936507936506,False
SANN vs ACTINN,8K,6534,0.026351472232813727,0.019240627344376177,0.033869844342117324,0.002192376428058742,16.718241042345277,True
SANN vs SingleR,8K,6534,0.10597642474275923,0.09769139023850908,0.11384609364375653,1.8319290022869904e-09,46.61746390200507,True
SANN vs scANVI (default),8K,6534,0.08984398258130093,0.08026668546730105,0.0997244146684136,3.5152925750297056e-58,274.4433426924688,True
"SANN vs scANVI (weighted, seed 42)",8K,6534,0.18096497639490058,0.17036920582279053,0.19178052652419358,1.5698812464747027e-182,849.3463175329159,True
SANN vs Seurat,3K,2601,0.007801354667635372,-0.0032037260057668545,0.028903367614147784,0.22710212201990063,5.647058823529411,False
SANN vs ACTINN,3K,2601,0.02993572407012071,0.015454612364935052,0.05340184204747915,0.03961394905121138,10.04878048780488,True
SANN vs SingleR,3K,2601,0.3361345952584032,0.3161907093217601,0.350655803187049,0.10860052948533816,7.571428571428595,True
SANN vs scANVI (default),3K,2601,0.12908836864967124,0.08418318000754123,0.18816115878690653,9.911619968466244e-21,99.98450573287879,True
"SANN vs scANVI (weighted, seed 42)",3K,2601,0.09741518729883815,0.08043057862193845,0.1212349463128109,1.2978547754265674e-48,230.0342188203512,True
