Model,Train,Test,MacroF1,WithinDonor
LR_PCA,68K,68K,0.8395,True
LR_PCA,68K,8K,0.9536,False
LR_PCA,68K,3K,0.9608,False
LR_PCA,8K,68K,0.6551,False
LR_PCA,8K,8K,0.9942,True
LR_PCA,8K,3K,0.9362,False
LR_PCA,3K,68K,0.7173,False
LR_PCA,3K,8K,0.9251,False
LR_PCA,3K,3K,0.9072,True
XGB_PCA,68K,68K,0.8999,True
XGB_PCA,68K,8K,0.9784,False
XGB_PCA,68K,3K,0.9542,False
XGB_PCA,8K,68K,0.6459,False
XGB_PCA,8K,8K,0.9903,True
XGB_PCA,8K,3K,0.9395,False
XGB_PCA,3K,68K,0.7034,False
XGB_PCA,3K,8K,0.9187,False
XGB_PCA,3K,3K,0.9207,True
SANN_PCA,68K,68K,0.9098,True
SANN_PCA,68K,8K,0.9846,False
SANN_PCA,68K,3K,0.972,False
SANN_PCA,8K,68K,0.6257,False
SANN_PCA,8K,8K,0.9868,True
SANN_PCA,8K,3K,0.9343,False
SANN_PCA,3K,68K,0.8599,False
SANN_PCA,3K,8K,0.8908,False
SANN_PCA,3K,3K,0.9571,True
