Model,Train,Test,MacroF1
LR_PCA,68K,68K,0.8395499646515304
LR_PCA,68K,8K,0.9535988697319656
LR_PCA,68K,3K,0.9608373849452276
LR_PCA,8K,68K,0.6551144293275737
LR_PCA,8K,8K,0.9942048644441914
LR_PCA,8K,3K,0.9361563378894168
LR_PCA,3K,68K,0.7173294883708963
LR_PCA,3K,8K,0.9250765899541468
LR_PCA,3K,3K,0.9072049689232755
XGB_PCA,68K,68K,0.8999041089756405
XGB_PCA,68K,8K,0.9783744292821592
XGB_PCA,68K,3K,0.9541599315700476
XGB_PCA,8K,68K,0.6458581867188098
XGB_PCA,8K,8K,0.9902833801040831
XGB_PCA,8K,3K,0.9394966684229722
XGB_PCA,3K,68K,0.7034206956989054
XGB_PCA,3K,8K,0.9186983936813118
XGB_PCA,3K,3K,0.9207129214855475
SANN_PCA,68K,68K,0.9098135987263004
SANN_PCA,68K,8K,0.9845555725927048
SANN_PCA,68K,3K,0.971985691802704
SANN_PCA,8K,68K,0.6256915540821495
SANN_PCA,8K,8K,0.9867862522933226
SANN_PCA,8K,3K,0.934316485178235
SANN_PCA,3K,68K,0.8599176129532861
SANN_PCA,3K,8K,0.8907535860940172
SANN_PCA,3K,3K,0.9570736912898686
