split_id,seed,model,macro_f1,accuracy,train_time_seconds,notes
split_01,42,LR,0.8478817453705643,0.8987812887688827,198.37621808052063,input=HVG; best_C=0.1
split_01,42,XGB,0.8860169949692789,0.9237393271546377,11289.728472948074,input=HVG; best_iter=1251
split_01,42,SANN,0.8597882454709957,0.904838356564256,157.1346299648285,input=HVG+mask; hidden=256 dropout=0.1 bn=True relu
split_02,53,LR,0.8502221557733921,0.8978325914033424,182.83855605125427,input=HVG; best_C=0.1
split_02,53,XGB,0.8846843820047171,0.9222797927461139,10921.522081136703,input=HVG; best_iter=1189
split_02,53,SANN,0.8610147894215958,0.9050572867255345,136.28764081001282,input=HVG+mask; hidden=256 dropout=0.1 bn=True relu
split_03,64,LR,0.8576865390174662,0.9026490549514705,175.76081681251526,input=HVG; best_C=0.1
split_03,64,XGB,0.8874374750009885,0.9225716996278187,10985.2974691391,input=HVG; best_iter=1191
split_03,64,SANN,0.8674000216472654,0.9053491936072393,287.97999000549316,input=HVG+mask; hidden=256 dropout=0.1 bn=True relu
split_04,75,LR,0.8564061733692233,0.9001678464569802,168.53721380233765,input=HVG; best_C=0.1
split_04,75,XGB,0.8836088598354686,0.9221338393052616,11725.37411189079,input=HVG; best_iter=1133
split_04,75,SANN,0.8621465415996925,0.9045464496825513,155.67272400856018,input=HVG+mask; hidden=256 dropout=0.1 bn=True relu
split_05,86,LR,0.8531792700347373,0.9011895205429468,139.25219202041626,input=HVG; best_C=0.1
split_05,86,XGB,0.8877861172462875,0.9243231409180471,12264.658548116684,input=HVG; best_iter=1344
split_05,86,SANN,0.8667256920842717,0.9065168211340582,290.6221971511841,input=HVG+mask; hidden=256 dropout=0.1 bn=True relu
