,precision,recall,f1-score,support
B cells,0.9962546816479401,0.9925373134328358,0.994392523364486,804.0
CD8 T,0.92243623112962,0.9143446852425181,0.9183726353977715,1938.0
CL 0,0.9385785317344253,0.9261183261183261,0.932306798373039,3465.0
CL 12,0.8797653958944281,0.9287925696594427,0.9036144578313253,323.0
CL 13,0.8416666666666667,0.8416666666666667,0.8416666666666667,240.0
CL 15,0.8861386138613861,0.8647342995169082,0.8753056234718827,207.0
CL 16,0.8666666666666667,0.8666666666666667,0.8666666666666667,195.0
CL 19,0.912621359223301,0.9306930693069307,0.9215686274509803,101.0
CL 6,0.8705882352941177,0.8662207357859532,0.8683989941324393,598.0
CL 8,0.8821428571428571,0.8900900900900901,0.8860986547085202,555.0
CL 9,0.875,0.8766859344894027,0.875842155919153,519.0
Mono,0.9946581196581197,0.9978563772775991,0.9962546816479401,933.0
NK,0.9738562091503268,0.9859714134462678,0.9798763645929238,3778.0
Platelet,0.9777777777777777,0.9361702127659575,0.9565217391304348,47.0
accuracy,0.9406699262935123,0.9406699262935123,0.9406699262935123,0.9406699262935123
macro avg,0.9155822389891165,0.9156105971761119,0.915491899239588,13703.0
weighted avg,0.9406072287415439,0.9406699262935123,0.9405939906432492,13703.0
